Athlete,Trick,Result,Unnamed: 3,ID,query_id,thumbnail_url
Person-2 ,Switch back 16                           ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-2 ,Backside 1800                            ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-2 ,Melon poke                               ,Success,,66ae852d7b2deac81dd1286e,0,0
Person-2 ,Backside melon rotation                  ,Success,,66ae852d7b2deac81dd1286e,0,0
----------,-----------------------------------,---------,,66ae84bf7b2deac81dd1286c,0,0
person-1 ,Descent down the mountain         ,Success,,66ae84bf7b2deac81dd1286c,0,0
person-1 ,Backflip                          ,Success,,66ae84bf7b2deac81dd1286c,0,0
person-2 ,Triple court rotation             ,Success,,66ae84bf7b2deac81dd1286c,0,0
person-2 ,Triple court 14-40 double grab    ,Failure,,66ae84bf7b2deac81dd1286c,0,0
-----------,--------------------------,---------,,66ae82ab7b2deac81dd1286b,0,0
Shaun White ,Snow ramp trick          ,Success,,66ae82ab7b2deac81dd1286b,0,0
Person-1  ,Rail trick                ,Failure,,66ae82ab7b2deac81dd1286b,0,0
Person-1  ,Second rail trick attempt ,Failure,,66ae82ab7b2deac81dd1286b,0,0
----------,-------------,---------,,66ae78957b2deac81dd12852,0,0
Yugo Tatsuko ,Mid-air spin ,Success,,66ae78957b2deac81dd12852,0,0
-----------,-----------------------------------,---------,,66ae77cb7b2deac81dd1284e,0,0
Shaun White ,Frontside double cork 1440        ,Success,,66ae77cb7b2deac81dd1284e,0,0
Shaun White ,Back-to-back 1440s                ,Success,,66ae77cb7b2deac81dd1284e,0,0
Shaun White ,"Skyhook, frontside 540            ",Success,,66ae77cb7b2deac81dd1284e,0,0
Shaun White ,"Double McTwist, tomahawk          ",Success,,66ae77cb7b2deac81dd1284e,0,0
Shaun White ,Frontside double cork 1260        ,Success,,66ae77cb7b2deac81dd1284e,0,0
----------,----------------------,---------,,66ae77ae7b2deac81dd1284d,0,0
Iyumu Hirano ,Front 1440 double   ,Success,,66ae77ae7b2deac81dd1284d,0,0
Iyumu Hirano ,Cap 1440 double     ,Success,,66ae77ae7b2deac81dd1284d,0,0
Iyumu Hirano ,Back 12             ,Success,,66ae77ae7b2deac81dd1284d,0,0
Iyumu Hirano ,Front 14 double     ,Success,,66ae77ae7b2deac81dd1284d,0,0
Iyumu Hirano ,Cap 14 double       ,Success,,66ae77ae7b2deac81dd1284d,0,0
Iyumu Hirano ,Front 12 double     ,Success,,66ae77ae7b2deac81dd1284d,0,0
Iyumu Hirano ,Back 12 double      ,Success,,66ae77ae7b2deac81dd1284d,0,0
Iyumu Hirano ,Backside air        ,Success,,66ae77ae7b2deac81dd1284d,0,0
,,,,66ae77ae7b2deac81dd1284d,0,0
----------,-----------------------------,----------,,66ae76647b2deac81dd1284a,0,0
person-1 ,Jump and trick              ,Success,,66ae76647b2deac81dd1284a,0,0
person-1 ,Backside twelve sixty       ,Success,,66ae76647b2deac81dd1284a,0,0
person-1 ,Frontside fourteen forty    ,Success,,66ae76647b2deac81dd1284a,0,0
person-1 ,Cab nine                    ,Success,,66ae76647b2deac81dd1284a,0,0
person-1 ,Switchback twelve           ,Success,,66ae76647b2deac81dd1284a,0,0
person-2 ,Switch backside ten eighty  ,Success,,66ae76647b2deac81dd1284a,0,0
person-2 ,Backside twelve sixty       ,Success,,66ae76647b2deac81dd1284a,0,0
person-2 ,Frontside fourteen forty    ,Success,,66ae76647b2deac81dd1284a,0,0
person-2 ,Cab ten                     ,Success,,66ae76647b2deac81dd1284a,0,0
person-2 ,Front twelve                ,Success,,66ae76647b2deac81dd1284a,0,0
person-3 ,Switch McTwist              ,Success,,66ae76647b2deac81dd1284a,0,0
person-3 ,Back twelve double          ,Success,,66ae76647b2deac81dd1284a,0,0
person-3 ,Frontside fourteen forty    ,Success,,66ae76647b2deac81dd1284a,0,0
person-3 ,Cab nine                    ,Success,,66ae76647b2deac81dd1284a,0,0
person-3 ,Switchback twelve           ,Success,,66ae76647b2deac81dd1284a,0,0
person-4 ,Switchback double ten       ,Success,,66ae76647b2deac81dd1284a,0,0
person-4 ,Switchback double twelve    ,Success,,66ae76647b2deac81dd1284a,0,0
person-4 ,Cab nine hundred            ,Success,,66ae76647b2deac81dd1284a,0,0
person-4 ,Switch McTwist              ,Success,,66ae76647b2deac81dd1284a,0,0
person-4 ,Back twelve double          ,Success,,66ae76647b2deac81dd1284a,0,0
person-4 ,Frontside fourteen forty    ,Success,,66ae76647b2deac81dd1284a,0,0
-----------,-------------------------------,----------,,66ae76597b2deac81dd12849,0,0
person-1  ,Tail Press                    ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Nose Press                    ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Ollie                         ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Nollie                        ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Frontside 180                 ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Backside 180                  ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Frontside 360                 ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Backside 180 Nose Roll        ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Frontside 180 Tail Roll       ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Frontside Shifty              ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Tripod                        ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Toe Side Spray                ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Heel Side Spray               ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Layback                       ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Laid Out Carve                ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Nollie Chip Shot              ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Toe Chip Frontside 180 Out    ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Backside 180 Out              ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Heel Side Carve Grab          ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Toe Side Carve Grab           ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Reverse Carve                 ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,270 Spray to Pull Back        ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Nose Block                    ,Success,,66ae76597b2deac81dd12849,0,0
person-1  ,Layback Good Time             ,Success,,66ae76597b2deac81dd12849,0,0
,,,,66ae76597b2deac81dd12849,0,0
